央视频道, #genre#
CCTV-01综合, http://171.124.164.136:4022/rtp/226.0.2.18:8056
CCTV-01综合, http://183.188.23.105:6001/rtp/226.0.2.18:8056
CCTV-01综合, http://124.164.37.80:4000/rtp/226.0.2.18:8056
CCTV-01综合, http://60.220.167.100:8082/rtp/226.0.2.18:8056
CCTV-02财经, http://171.124.164.136:4022/rtp/226.0.2.19:8064
CCTV-02财经, http://183.188.23.105:6001/rtp/226.0.2.19:8064
CCTV-02财经, http://124.164.37.80:4000/rtp/226.0.2.19:8064
CCTV-02财经, http://60.220.167.100:8082/rtp/226.0.2.19:8064
CCTV-03综艺, http://171.124.164.136:4022/rtp/226.0.2.20:8072
CCTV-03综艺, http://183.188.23.105:6001/rtp/226.0.2.20:8072
CCTV-03综艺, http://124.164.37.80:4000/rtp/226.0.2.20:8072
CCTV-03综艺, http://60.220.167.100:8082/rtp/226.0.2.20:8072
